animal_id,outcome_type
A677047,Transfer
A734123,Adoption
A713589,Transfer
A680150,Transfer
A665755,Adoption
A747430,Adoption
A685902,Adoption
A678114,Transfer
A701510,Transfer
A681370,Adoption
A684006,Transfer
A757527,Transfer
A747683,Adoption
A724118,Adoption
A672164,Adoption
A759980,Adoption
A713388,Adoption
A737740,Adoption
A664913,Adoption
A755666,Adoption
A758151,Transfer
A708278,Transfer
A758357,Transfer
A685478,Adoption
A743748,Transfer
A691874,Transfer
A744802,Adoption
A672057,Adoption
A704831,Adoption
A731224,Adoption
A736727,Adoption
A732966,Adoption
A735391,Adoption
A738751,Adoption
A688624,Adoption
A669647,Transfer
A713540,Adoption
A681060,Transfer
A764411,Adoption
A680114,Transfer
A748940,Adoption
A671124,Adoption
A721313,Adoption
A725342,Transfer
A723597,Euthanasia
A756989,Transfer
A715210,Adoption
A678841,Transfer
A706452,Transfer
A685221,Adoption
A675017,Adoption
A676215,Adoption
A742195,Adoption
A724806,Transfer
A744809,Adoption
A754413,Adoption
A661878,Adoption
A735271,Transfer
A725009,Adoption
A672583,Adoption
A695964,Adoption
A746654,Adoption
A709187,Adoption
A758272,Transfer
A755617,Adoption
A758981,Transfer
A707250,Adoption
A744214,Transfer
A693622,Adoption
A758802,Adoption
A744817,Transfer
A726666,Adoption
A695922,Adoption
A714339,Adoption
A703319,Transfer
A678822,Transfer
A742625,Transfer
A759377,Adoption
A675334,Adoption
A674199,Euthanasia
A682796,Transfer
A725348,Adoption
A663255,Adoption
A760784,Adoption
A738336,Adoption
A668022,Adoption
A730401,Transfer
A744052,Adoption
A755075,Adoption
A717560,Adoption
A752934,Adoption
A711340,Transfer
A658625,Adoption
A655516,Adoption
A501076,Adoption
A699993,Adoption
A736024,Adoption
A751179,Adoption
A740985,Adoption
A702431,Adoption
A742597,Adoption
A708700,Adoption
A714221,Adoption
A720212,Transfer
A727773,Adoption
A728270,Transfer
A667822,Adoption
A706066,Transfer
A703386,Adoption
A754353,Transfer
A719276,Adoption
A765024,Adoption
A678297,Euthanasia
A702033,Adoption
A736558,Adoption
A757230,Adoption
A734045,Adoption
A706525,Transfer
A665490,Adoption
A713674,Adoption
A706225,Transfer
A679907,Transfer
A735375,Transfer
A693160,Adoption
A722316,Euthanasia
A660346,Adoption
A716202,Transfer
A713013,Adoption
A637003,Adoption
A727146,Transfer
A720334,Adoption
A689460,Adoption
A690585,Adoption
A652104,Adoption
A614481,Adoption
A729621,Transfer
A680133,Transfer
A710936,Adoption
A704186,Adoption
A700468,Transfer
A672193,Adoption
A724385,Adoption
A685871,Transfer
A695731,Transfer
A690557,Transfer
A699160,Euthanasia
A736275,Transfer
A760872,Transfer
A668225,Euthanasia
A755724,Transfer
A763975,Adoption
A710257,Adoption
A678128,Adoption
A692138,Adoption
A731370,Transfer
A708010,Transfer
A695310,Adoption
A760797,Transfer
A747148,Adoption
A731497,Adoption
A752431,Transfer
A736535,Adoption
A741152,Adoption
A584313,Adoption
A760619,Adoption
A761134,Adoption
A749783,Transfer
A701878,Adoption
A719151,Adoption
A728465,Adoption
A667590,Transfer
A707299,Adoption
A684351,Adoption
A744510,Adoption
A752392,Transfer
A730920,Adoption
A745522,Adoption
A742550,Adoption
A727157,Adoption
A744129,Adoption
A746516,Transfer
A700285,Adoption
A695053,Transfer
A746354,Adoption
A690377,Adoption
A673792,Adoption
A672328,Adoption
A716934,Adoption
A682281,Adoption
A750397,Transfer
A689236,Transfer
A680335,Adoption
A740117,Adoption
A743823,Adoption
A663805,Adoption
A688205,Adoption
A742824,Adoption
A695908,Adoption
A710710,Adoption
A671565,Adoption
A633633,Transfer
A750227,Adoption
A701153,Adoption
A707789,Adoption
A698351,Adoption
A753643,Adoption
A682085,Adoption
A714974,Adoption
A732619,Adoption
A714759,Adoption
A680876,Transfer
A709922,Transfer
A711955,Adoption
A689440,Adoption
A729882,Transfer
A670753,Transfer
A739577,Adoption
A694724,Adoption
A668187,Adoption
A723809,Adoption
A677270,Euthanasia
A678178,Adoption
A677707,Transfer
A742224,Adoption
A742352,Adoption
A695638,Adoption
A724671,Adoption
A755273,Transfer
A718301,Euthanasia
A674723,Euthanasia
A673357,Euthanasia
A736947,Transfer
A718369,Adoption
A657038,Adoption
A683478,Euthanasia
A718498,Transfer
A713006,Transfer
A724429,Adoption
A703216,Adoption
A750732,Adoption
A710711,Transfer
A679528,Transfer
A729671,Adoption
A684635,Adoption
A419161,Adoption
A700496,Adoption
A737815,Adoption
A707187,Adoption
A739877,Adoption
A755591,Transfer
A655842,Adoption
A488304,Adoption
A724884,Adoption
A686812,Adoption
A563536,Adoption
A764273,Adoption
A764575,Adoption
A747766,Adoption
A745446,Transfer
A699135,Transfer
A723820,Adoption
A732823,Adoption
A706834,Adoption
A714101,Transfer
A666722,Transfer
A679919,Adoption
A764871,Transfer
A743680,Adoption
A663846,Adoption
A546346,Adoption
A700831,Adoption
A745708,Adoption
A764272,Adoption
A742276,Adoption
A743758,Transfer
A672598,Adoption
A694759,Adoption
A736451,Adoption
A714311,Adoption
A686562,Adoption
A696203,Adoption
A710622,Adoption
A686336,Adoption
A702183,Adoption
A736940,Euthanasia
A699095,Transfer
A742879,Adoption
A665712,Adoption
A669788,Adoption
A691774,Adoption
A737007,Adoption
A754189,Transfer
A676759,Transfer
A737549,Adoption
A682785,Adoption
A678963,Transfer
A681462,Adoption
A750064,Adoption
A665491,Transfer
A660252,Adoption
A761786,Euthanasia
A686112,Transfer
A692163,Adoption
A684408,Adoption
A737492,Adoption
A750393,Adoption
A742545,Transfer
A714053,Transfer
A692264,Transfer
A746281,Adoption
A731465,Euthanasia
A703193,Adoption
A721620,Adoption
A664053,Transfer
A706035,Transfer
A717963,Adoption
A762926,Transfer
A739163,Adoption
A670503,Adoption
A761452,Transfer
A660979,Adoption
A719608,Adoption
A754171,Adoption
A691769,Adoption
A690459,Adoption
A716096,Transfer
A714642,Adoption
A718499,Adoption
A744674,Adoption
A761241,Euthanasia
A761990,Adoption
A723833,Euthanasia
A717907,Adoption
A708396,Transfer
A704883,Transfer
A668785,Adoption
A741162,Adoption
A738558,Transfer
A687214,Adoption
A720217,Adoption
A692868,Transfer
A678967,Transfer
A758752,Adoption
A692221,Adoption
A698848,Adoption
A665468,Adoption
A721725,Transfer
A666657,Adoption
A721791,Adoption
A742314,Adoption
A668746,Transfer
A684368,Transfer
A669469,Adoption
A714019,Adoption
A671508,Transfer
A737951,Adoption
A674526,Adoption
A680292,Transfer
A706731,Transfer
A760742,Transfer
A718643,Adoption
A696524,Adoption
A673991,Euthanasia
A748597,Transfer
A714652,Transfer
A705221,Adoption
A718779,Transfer
A726255,Transfer
A677045,Adoption
A736300,Transfer
A671670,Adoption
A688506,Adoption
A709280,Adoption
A689018,Adoption
A667222,Adoption
A686900,Transfer
A733208,Transfer
A737917,Adoption
A709582,Euthanasia
A753075,Adoption
A720426,Adoption
A681140,Transfer
A713459,Adoption
A723402,Adoption
A758281,Transfer
A726051,Adoption
A746697,Transfer
A669849,Adoption
A671148,Adoption
A672239,Adoption
A761216,Adoption
A718337,Adoption
A723043,Euthanasia
A750365,Transfer
A744612,Adoption
A690345,Adoption
A709058,Adoption
A727549,Transfer
A735361,Adoption
A660950,Adoption
A765867,Euthanasia
A761276,Adoption
A678878,Adoption
A705703,Adoption
A681147,Adoption
A690173,Adoption
A706021,Transfer
A729915,Transfer
A709276,Adoption
A684203,Adoption
A759038,Transfer
A737933,Euthanasia
A737133,Adoption
A706669,Transfer
A755874,Adoption
A717438,Adoption
A723095,Adoption
A728155,Adoption
A729358,Adoption
A759931,Adoption
A733311,Adoption
A723588,Adoption
A691315,Adoption
A723314,Transfer
A726889,Adoption
A764679,Adoption
A712635,Adoption
A728784,Transfer
A730706,Adoption
A693356,Adoption
A746747,Adoption
A695585,Adoption
A689848,Adoption
A681763,Transfer
A746937,Adoption
A681637,Adoption
A747906,Adoption
A704800,Transfer
A731276,Adoption
A681907,Transfer
A700206,Adoption
A717795,Adoption
A763027,Adoption
A746856,Transfer
A678600,Transfer
A722354,Adoption
A761524,Adoption
A675873,Euthanasia
A747623,Adoption
A665148,Transfer
A706958,Transfer
A764610,Adoption
A745971,Transfer
A695783,Adoption
A689472,Euthanasia
A703777,Adoption
A762127,Adoption
A672194,Adoption
A688794,Adoption
A732020,Adoption
A734456,Adoption
A755350,Adoption
A721676,Adoption
A680261,Transfer
A754035,Adoption
A736901,Transfer
A718391,Transfer
A669099,Transfer
A738072,Adoption
A708049,Adoption
A733898,Adoption
A683587,Adoption
A756669,Adoption
A753333,Transfer
A725555,Adoption
A716954,Transfer
A660054,Adoption
A684953,Adoption
A709839,Transfer
A719274,Adoption
A680395,Transfer
A710527,Transfer
A706748,Transfer
A749587,Euthanasia
A741187,Adoption
A754837,Transfer
A685239,Adoption
A712711,Adoption
A694560,Transfer
A664218,Adoption
A663324,Adoption
A706093,Transfer
A684817,Transfer
A674531,Adoption
A669580,Adoption
A750700,Transfer
A709416,Adoption
A746153,Adoption
A728008,Transfer
A701173,Transfer
A751902,Adoption
A688263,Adoption
A704181,Adoption
A760023,Adoption
A652891,Adoption
A694198,Adoption
A712073,Adoption
A710126,Transfer
A711692,Transfer
A700767,Adoption
A707958,Adoption
A702669,Transfer
A686457,Transfer
A662918,Adoption
A718050,Adoption
A686014,Transfer
A751768,Adoption
A670055,Adoption
A642859,Adoption
A676671,Adoption
A719311,Adoption
A683491,Transfer
A674482,Euthanasia
A755646,Adoption
A761861,Adoption
A756390,Adoption
A349733,Adoption
A734171,Transfer
A680120,Adoption
A733210,Transfer
A667851,Adoption
A712357,Transfer
A664425,Adoption
A731411,Adoption
A705088,Adoption
A723110,Adoption
A449967,Adoption
A690939,Adoption
A749244,Transfer
A688992,Adoption
A721730,Adoption
A678501,Transfer
A737093,Adoption
A723673,Transfer
A736108,Adoption
A760534,Transfer
A740997,Adoption
A664380,Transfer
A745875,Adoption
A714351,Adoption
A684197,Euthanasia
A711851,Adoption
A696807,Adoption
A699787,Adoption
A667996,Adoption
A725016,Adoption
A723442,Transfer
A677088,Transfer
A665252,Transfer
A664761,Adoption
A747059,Transfer
A706078,Transfer
A590637,Adoption
A677366,Adoption
A665927,Adoption
A686649,Transfer
A697287,Adoption
A742587,Adoption
A711884,Transfer
A705371,Transfer
A680781,Transfer
A705910,Adoption
A691852,Transfer
A728649,Adoption
A671731,Adoption
A680584,Transfer
A736959,Euthanasia
A678175,Transfer
A698298,Adoption
A713909,Adoption
A743461,Transfer
A704826,Transfer
A742975,Adoption
A719772,Adoption
A733757,Adoption
A712912,Adoption
A691633,Transfer
A724955,Adoption
A681581,Transfer
A729851,Transfer
A691975,Adoption
A706427,Adoption
A684511,Adoption
A753043,Adoption
A685655,Transfer
A688423,Adoption
A732453,Adoption
A668307,Adoption
A717217,Transfer
A681668,Transfer
A610772,Adoption
A723360,Adoption
A547838,Adoption
A755637,Transfer
A665605,Adoption
A671795,Adoption
A761788,Transfer
A756847,Adoption
A728763,Transfer
A675864,Adoption
A720353,Adoption
A731297,Euthanasia
A677545,Adoption
A531278,Transfer
A733433,Euthanasia
A724242,Adoption
A730771,Transfer
A723569,Adoption
A701871,Adoption
A750153,Adoption
A760100,Adoption
A739712,Adoption
A715242,Adoption
A712373,Adoption
A693434,Adoption
A718936,Adoption
A746811,Adoption
A668337,Transfer
A758743,Adoption
A668149,Transfer
A682836,Adoption
A729501,Adoption
A726158,Adoption
A703648,Transfer
A664978,Transfer
A669347,Adoption
A712644,Adoption
A736016,Adoption
A567808,Adoption
A680148,Transfer
A688521,Transfer
A731454,Adoption
A672401,Adoption
A688270,Adoption
A690794,Adoption
A764294,Transfer
A709053,Transfer
A665392,Transfer
A765424,Transfer
A716381,Transfer
A722704,Adoption
A672477,Adoption
A728242,Adoption
A756890,Adoption
A735468,Transfer
A740666,Transfer
A720823,Adoption
A669422,Transfer
A697892,Adoption
A667170,Adoption
A667496,Transfer
A712848,Adoption
A643131,Adoption
A676747,Transfer
A714703,Transfer
A737098,Adoption
A740202,Adoption
A708163,Euthanasia
A755446,Transfer
A671406,Adoption
A755172,Transfer
A671001,Transfer
A752448,Transfer
A721844,Adoption
A753484,Adoption
A701829,Adoption
A749670,Adoption
A708987,Adoption
A764852,Adoption
A762850,Adoption
A729394,Adoption
A718419,Adoption
A712222,Adoption
A474311,Adoption
A545407,Adoption
A751590,Adoption
A734967,Transfer
A687965,Adoption
A702194,Euthanasia
A715642,Adoption
A737148,Transfer
A764315,Transfer
A757471,Adoption
A713646,Adoption
A680384,Adoption
A713911,Euthanasia
A751646,Transfer
A751123,Adoption
A711209,Adoption
A688399,Adoption
A666756,Adoption
A650312,Adoption
A742443,Adoption
A696007,Adoption
A706205,Adoption
A715464,Adoption
A725334,Adoption
A683635,Adoption
A686437,Adoption
A699572,Euthanasia
A743145,Adoption
A740467,Transfer
A733291,Adoption
A756565,Transfer
A750870,Adoption
A666660,Adoption
A711741,Adoption
A673737,Adoption
A726504,Adoption
A727643,Adoption
A676391,Adoption
A728917,Transfer
A709370,Transfer
A557226,Adoption
A714466,Adoption
A693391,Adoption
A693992,Transfer
A711144,Adoption
A723316,Transfer
A685727,Adoption
A681405,Adoption
A730325,Transfer
A722616,Adoption
A701778,Transfer
A714155,Adoption
A683536,Transfer
A707389,Adoption
A675578,Transfer
A745757,Adoption
A677208,Adoption
A739882,Adoption
A699103,Adoption
A684249,Adoption
A698194,Adoption
A726187,Transfer
A726650,Transfer
A685428,Euthanasia
A665672,Transfer
A760235,Transfer
A667274,Transfer
A673489,Adoption
A684326,Adoption
A682367,Transfer
A598741,Adoption
A744089,Adoption
A673444,Adoption
A750596,Adoption
A697553,Adoption
A677776,Transfer
A666540,Adoption
A726457,Transfer
A731603,Transfer
A695336,Adoption
A699562,Adoption
A742943,Adoption
A689795,Transfer
A310938,Adoption
A762298,Adoption
A672485,Adoption
A757446,Adoption
A725469,Transfer
A700711,Adoption
A686058,Euthanasia
A664266,Transfer
A765364,Adoption
A673140,Transfer
A727095,Adoption
A693751,Transfer
A684579,Adoption
A733923,Adoption
A695934,Adoption
A709163,Transfer
A747367,Adoption
A746521,Transfer
A760606,Transfer
A671431,Adoption
A720430,Adoption
A763836,Adoption
A666330,Adoption
A607107,Adoption
A668087,Adoption
A639175,Adoption
A669060,Adoption
A732286,Adoption
A714005,Adoption
A697007,Euthanasia
A739014,Adoption
A663618,Adoption
A731181,Adoption
A758830,Transfer
A689344,Adoption
A728885,Euthanasia
A749064,Transfer
A697188,Adoption
A732221,Adoption
A711992,Adoption
A740448,Adoption
A704332,Adoption
A668689,Adoption
A679502,Transfer
A674577,Adoption
A741126,Adoption
A756165,Adoption
A757901,Transfer
A744830,Adoption
A723387,Adoption
A695067,Transfer
A684419,Transfer
A726416,Transfer
A687409,Adoption
A447753,Adoption
A613097,Adoption
A676435,Adoption
A745850,Transfer
A751882,Adoption
A692466,Adoption
A666671,Adoption
A723723,Adoption
A727545,Transfer
A761033,Adoption
A706220,Transfer
A742446,Adoption
A680329,Adoption
A670075,Adoption
A714862,Adoption
A678497,Adoption
A763472,Adoption
A449752,Adoption
A740805,Adoption
A754483,Adoption
A685510,Transfer
A755614,Transfer
A724994,Transfer
A732331,Adoption
A755211,Transfer
A731671,Adoption
A702309,Transfer
A687307,Adoption
A678011,Adoption
A735381,Transfer
A745044,Transfer
A678460,Transfer
A731124,Adoption
A674198,Adoption
A682704,Adoption
A747116,Adoption
A698555,Adoption
A736127,Transfer
A753707,Adoption
A707912,Adoption
A720071,Adoption
A712669,Transfer
A717862,Adoption
A744146,Euthanasia
A717122,Euthanasia
A690458,Adoption
A734280,Adoption
A750959,Adoption
A691391,Transfer
A704963,Transfer
A753233,Transfer
A673557,Transfer
A686524,Transfer
A720889,Adoption
A686513,Adoption
A758785,Adoption
A755564,Euthanasia
A688219,Adoption
A680068,Transfer
A710704,Adoption
A727243,Transfer
A666676,Adoption
A724341,Adoption
A690413,Adoption
A671939,Adoption
A739956,Adoption
A745009,Transfer
A675804,Transfer
A754213,Adoption
A690119,Adoption
A739937,Adoption
A679767,Adoption
A732088,Adoption
A690808,Transfer
A713831,Adoption
A738292,Transfer
A727431,Transfer
A696408,Adoption
A722702,Euthanasia
A759885,Adoption
A692877,Adoption
A676640,Transfer
A664553,Adoption
A758618,Transfer
A729769,Adoption
A691531,Transfer
A690632,Adoption
A642394,Adoption
A683456,Transfer
A744133,Euthanasia
A762242,Adoption
A679607,Transfer
A703375,Transfer
A662422,Adoption
A728552,Transfer
A696107,Adoption
A711910,Adoption
A672823,Adoption
A729585,Transfer
A734228,Adoption
A713532,Transfer
A696042,Adoption
A710946,Adoption
A689999,Adoption
A710564,Adoption
A741813,Adoption
A737358,Transfer
A758303,Transfer
A759363,Euthanasia
A735497,Adoption
A591983,Adoption
A744477,Adoption
A695068,Transfer
A755692,Adoption
A743164,Adoption
A722981,Transfer
A755951,Adoption
A694879,Adoption
A729747,Transfer
A739123,Adoption
A691625,Adoption
A712107,Transfer
A612489,Adoption
A665902,Euthanasia
A743134,Adoption
A731595,Adoption
A757587,Adoption
A682715,Euthanasia
A736531,Transfer
A726978,Adoption
A718299,Adoption
A749119,Adoption
A665856,Transfer
A678998,Adoption
A751412,Transfer
A718045,Adoption
A737346,Adoption
A679988,Adoption
A680418,Adoption
A723127,Transfer
A673407,Euthanasia
A683392,Adoption
A697816,Adoption
A726603,Adoption
A714395,Adoption
A705299,Adoption
A683946,Transfer
A753898,Transfer
A708012,Transfer
A672176,Adoption
A743709,Adoption
A761151,Adoption
A717799,Transfer
A740978,Adoption
A678392,Euthanasia
A720313,Adoption
A726720,Adoption
A737538,Transfer
A748508,Transfer
A735721,Adoption
A691045,Adoption
A726905,Adoption
A723157,Adoption
A696618,Adoption
A623562,Adoption
A700141,Transfer
A713847,Transfer
A701512,Transfer
A667489,Transfer
A730295,Transfer
A719226,Transfer
A671724,Adoption
A635880,Adoption
A748071,Transfer
A709666,Adoption
A708761,Transfer
A723305,Euthanasia
A729778,Transfer
A740958,Transfer
A664547,Transfer
A695224,Adoption
A708796,Euthanasia
A686519,Transfer
A675157,Euthanasia
A757247,Adoption
A734082,Adoption
A724352,Euthanasia
A701250,Return to Owner
A678482,Adoption
A755712,Adoption
A744969,Adoption
A675952,Adoption
A686224,Transfer
A721842,Adoption
A673218,Adoption
A760141,Adoption
A755016,Adoption
A726659,Adoption
A699173,Adoption
A474000,Adoption
A689319,Adoption
A743509,Adoption
A664282,Transfer
A720545,Adoption
A688125,Adoption
A666842,Transfer
A690913,Adoption
A664631,Transfer
A691339,Transfer
A684583,Adoption
A706173,Adoption
A709146,Adoption
A750335,Transfer
A680919,Transfer
A706128,Transfer
A684167,Transfer
A670416,Adoption
A685732,Adoption
A721587,Adoption
A758482,Adoption
A609823,Adoption
A761429,Adoption
A732974,Euthanasia
A737786,Transfer
A715155,Transfer
A759763,Adoption
A665778,Adoption
A664668,Adoption
A671340,Adoption
A676929,Transfer
A755764,Adoption
A742782,Adoption
A750311,Adoption
A720725,Adoption
A761751,Transfer
A756006,Adoption
A756177,Adoption
A673631,Transfer
A686403,Adoption
A752715,Adoption
A755715,Adoption
A751137,Adoption
A708738,Adoption
A713446,Adoption
A691870,Adoption
A704312,Adoption
A731450,Adoption
A701443,Adoption
A676924,Adoption
A741216,Adoption
A713757,Adoption
A680804,Transfer
A678672,Adoption
A741844,Adoption
A701868,Euthanasia
A722418,Adoption
A664303,Transfer
A676886,Adoption
A729261,Adoption
A692951,Transfer
A666283,Adoption
A678538,Adoption
A717804,Euthanasia
A674659,Transfer
A744629,Adoption
A761435,Adoption
A717473,Adoption
A692164,Adoption
A730461,Adoption
A750694,Adoption
A692969,Adoption
A551111,Adoption
A742172,Adoption
A756501,Transfer
A704782,Adoption
A754896,Transfer
A672824,Adoption
A681364,Adoption
A714624,Adoption
A747946,Transfer
A698532,Adoption
A688105,Adoption
A704502,Adoption
A614362,Adoption
A703973,Adoption
A705554,Transfer
A518911,Adoption
A681207,Transfer
A669237,Euthanasia
A720084,Transfer
A693288,Adoption
A701867,Euthanasia
A736243,Adoption
A705911,Adoption
A707579,Adoption
A693734,Adoption
A676784,Adoption
A758257,Transfer
A665218,Transfer
A690393,Euthanasia
A681376,Transfer
A723456,Transfer
A731271,Transfer
A661049,Adoption
A679727,Adoption
A721104,Adoption
A745058,Transfer
A704307,Transfer
A679671,Transfer
A696500,Transfer
A698578,Transfer
A685929,Euthanasia
A754974,Euthanasia
A737570,Adoption
A723419,Transfer
A749046,Adoption
